well,strain,genotype,medium,replicate,plate
B2,ecMK85,WT,rich_glucose,1,1
B3,ecMK102,sdaCB,rich_glucose,1,1
B4,ecMK163,sdaB,rich_glucose,1,1
B5,ecMK180,sdaC,rich_glucose,1,1
B6,ecMK85,WT,.025%glucose_noser,1,1
B7,ecMK102,sdaCB,.025%glucose_noser,1,1
B8,ecMK163,sdaB,.025%glucose_noser,1,1
B9,ecMK180,sdaC,.025%glucose_noser,1,1
C2,ecMK85,WT,rich_glucose,2,1
C3,ecMK102,sdaCB,rich_glucose,2,1
C4,ecMK163,sdaB,rich_glucose,2,1
C5,ecMK180,sdaC,rich_glucose,2,1
C6,ecMK85,WT,.025%glucose_noser,2,1
C7,ecMK102,sdaCB,.025%glucose_noser,2,1
C8,ecMK163,sdaB,.025%glucose_noser,2,1
C9,ecMK180,sdaC,.025%glucose_noser,2,1
D2,ecMK85,WT,rich_glucose,3,1
D3,ecMK102,sdaCB,rich_glucose,3,1
D4,ecMK163,sdaB,rich_glucose,3,1
D5,ecMK180,sdaC,rich_glucose,3,1
D6,ecMK85,WT,.025%glucose_noser,3,1
D7,ecMK102,sdaCB,.025%glucose_noser,3,1
D8,ecMK163,sdaB,.025%glucose_noser,3,1
D9,ecMK180,sdaC,.025%glucose_noser,3,1
E2,ecMK94,serA,rich_glucose,1,1
E3,ecMK106,sdaCB_serA,rich_glucose,1,1
E4,ecMK164,sdaB_serA,rich_glucose,1,1
E5,ecMK181,sdaC_serA,rich_glucose,1,1
F2,ecMK94,serA,rich_glucose,2,1
F3,ecMK106,sdaCB_serA,rich_glucose,2,1
F4,ecMK164,sdaB_serA,rich_glucose,2,1
F5,ecMK181,sdaC_serA,rich_glucose,2,1
G2,ecMK94,serA,rich_glucose,3,1
G3,ecMK106,sdaCB_serA,rich_glucose,3,1
G4,ecMK164,sdaB_serA,rich_glucose,3,1
G5,ecMK181,sdaC_serA,rich_glucose,3,1
